minlp_tag,role,leaf_pi,in_hierarchy_sheet,in_master_pi_data,hierarchy_element_paths,status
BFW_B_Turb_Steam_Imbalance,decision_variable,Spec_En_Cons_BLR_5_Opt,False,True,,in_feature_file_only
BFW_B_Turb_Steam_Imbalance,decision_variable,VHP_BFW_FROM_U_O,False,True,,in_feature_file_only
BFW_B_Turb_Steam_Imbalance,decision_variable,VHP_DESPHTR_BFW_FROM_U_O,False,True,,in_feature_file_only
BFW_C_Turb_Status,decision_variable,,,,,no_pi_leaves
BFW_C_Turb_Steam,decision_variable,BFW_C_Turb_Steam_cons,False,True,,in_feature_file_only
BFW_C_Turb_Steam,decision_variable,BFW_C_Turb_Steam_raw,False,True,,in_feature_file_only
BFW_C_Turb_Steam,decision_variable,BFW_TO_LAO,False,True,,in_feature_file_only
BFW_C_Turb_Steam,decision_variable,BFW_to_EOEG_1,False,True,,in_feature_file_only
BFW_C_Turb_Steam,decision_variable,BFW_to_EOEG_2,False,True,,in_feature_file_only
BFW_C_Turb_Steam,decision_variable,BFW_to_EOEG_3,False,True,,in_feature_file_only
BFW_C_Turb_Steam,decision_variable,DSP_BFW_TO_CAUSTIC_DILUTION,False,True,,in_feature_file_only
BFW_C_Turb_Steam,decision_variable,DSP_BFW_TO_EG1,False,True,,in_feature_file_only
BFW_C_Turb_Steam,decision_variable,DSP_BFW_TO_EG2,False,True,,in_feature_file_only
BFW_C_Turb_Steam,decision_variable,DSP_BFW_TO_EG3_raw,False,True,,in_feature_file_only
BFW_C_Turb_Steam,decision_variable,DSP_BFW_TO_ETH_raw,False,True,,in_feature_file_only
BFW_C_Turb_Steam,decision_variable,EOEG3_Plant_Status,False,True,,in_feature_file_only
BFW_C_Turb_Steam,decision_variable,ETH_Plant_Status,False,True,,in_feature_file_only
BFW_C_Turb_Steam,decision_variable,LHV,False,True,,in_feature_file_only
BFW_C_Turb_Steam,decision_variable,Spec_En_Cons_BLR_1_Opt,False,True,,in_feature_file_only
BFW_C_Turb_Steam,decision_variable,Spec_En_Cons_BLR_2_Opt,False,True,,in_feature_file_only
BFW_C_Turb_Steam,decision_variable,Spec_En_Cons_BLR_3_Opt,False,True,,in_feature_file_only
BFW_C_Turb_Steam,decision_variable,Spec_En_Cons_BLR_4_Opt,False,True,,in_feature_file_only
BFW_C_Turb_Steam,decision_variable,Spec_En_Cons_BLR_5_Opt,False,True,,in_feature_file_only
BFW_C_Turb_Steam,decision_variable,VHP_BFW_FROM_U_O,False,True,,in_feature_file_only
BFW_C_Turb_Steam,decision_variable,VHP_DESPHTR_BFW_FROM_U_O,False,True,,in_feature_file_only
BFW_C_Turb_Steam_Imbalance,decision_variable,BFW_TO_LAO,False,True,,in_feature_file_only
BFW_C_Turb_Steam_Imbalance,decision_variable,BFW_to_EOEG_1,False,True,,in_feature_file_only
BFW_C_Turb_Steam_Imbalance,decision_variable,BFW_to_EOEG_2,False,True,,in_feature_file_only
BFW_C_Turb_Steam_Imbalance,decision_variable,BFW_to_EOEG_3,False,True,,in_feature_file_only
BFW_C_Turb_Steam_Imbalance,decision_variable,DSP_BFW_TO_CAUSTIC_DILUTION,False,True,,in_feature_file_only
BFW_C_Turb_Steam_Imbalance,decision_variable,DSP_BFW_TO_EG1,False,True,,in_feature_file_only
BFW_C_Turb_Steam_Imbalance,decision_variable,DSP_BFW_TO_EG2,False,True,,in_feature_file_only
BFW_C_Turb_Steam_Imbalance,decision_variable,DSP_BFW_TO_EG3_raw,False,True,,in_feature_file_only
BFW_C_Turb_Steam_Imbalance,decision_variable,DSP_BFW_TO_ETH_raw,False,True,,in_feature_file_only
BFW_C_Turb_Steam_Imbalance,decision_variable,EOEG3_Plant_Status,False,True,,in_feature_file_only
BFW_C_Turb_Steam_Imbalance,decision_variable,ETH_Plant_Status,False,True,,in_feature_file_only
BFW_C_Turb_Steam_Imbalance,decision_variable,LHV,False,True,,in_feature_file_only
BFW_C_Turb_Steam_Imbalance,decision_variable,Spec_En_Cons_BLR_1_Opt,False,True,,in_feature_file_only
BFW_C_Turb_Steam_Imbalance,decision_variable,Spec_En_Cons_BLR_2_Opt,False,True,,in_feature_file_only
BFW_C_Turb_Steam_Imbalance,decision_variable,Spec_En_Cons_BLR_3_Opt,False,True,,in_feature_file_only
BFW_C_Turb_Steam_Imbalance,decision_variable,Spec_En_Cons_BLR_4_Opt,False,True,,in_feature_file_only
BFW_C_Turb_Steam_Imbalance,decision_variable,Spec_En_Cons_BLR_5_Opt,False,True,,in_feature_file_only
BFW_C_Turb_Steam_Imbalance,decision_variable,VHP_BFW_FROM_U_O,False,True,,in_feature_file_only
BFW_C_Turb_Steam_Imbalance,decision_variable,VHP_DESPHTR_BFW_FROM_U_O,False,True,,in_feature_file_only
BFW_D_Motor_Power,decision_variable,BFW_TO_LAO,False,True,,in_feature_file_only
BFW_D_Motor_Power,decision_variable,BFW_to_EOEG_1,False,True,,in_feature_file_only
BFW_D_Motor_Power,decision_variable,BFW_to_EOEG_2,False,True,,in_feature_file_only
BFW_D_Motor_Power,decision_variable,BFW_to_EOEG_3,False,True,,in_feature_file_only
BFW_D_Motor_Power,decision_variable,DSP_BFW_TO_CAUSTIC_DILUTION,False,True,,in_feature_file_only
BFW_D_Motor_Power,decision_variable,DSP_BFW_TO_EG1,False,True,,in_feature_file_only
BFW_D_Motor_Power,decision_variable,DSP_BFW_TO_EG2,False,True,,in_feature_file_only
BFW_D_Motor_Power,decision_variable,DSP_BFW_TO_EG3_raw,False,True,,in_feature_file_only
BFW_D_Motor_Power,decision_variable,DSP_BFW_TO_ETH_raw,False,True,,in_feature_file_only
BFW_D_Motor_Power,decision_variable,EOEG3_Plant_Status,False,True,,in_feature_file_only
BFW_D_Motor_Power,decision_variable,ETH_Plant_Status,False,True,,in_feature_file_only
BFW_D_Motor_Power,decision_variable,LHV,False,True,,in_feature_file_only
BFW_D_Motor_Power,decision_variable,Spec_En_Cons_BLR_1_Opt,False,True,,in_feature_file_only
BFW_D_Motor_Power,decision_variable,Spec_En_Cons_BLR_2_Opt,False,True,,in_feature_file_only
BFW_D_Motor_Power,decision_variable,Spec_En_Cons_BLR_3_Opt,False,True,,in_feature_file_only
BFW_D_Motor_Power,decision_variable,Spec_En_Cons_BLR_4_Opt,False,True,,in_feature_file_only
BFW_D_Motor_Power,decision_variable,Spec_En_Cons_BLR_5_Opt,False,True,,in_feature_file_only
BFW_D_Motor_Power,decision_variable,VHP_BFW_FROM_U_O,False,True,,in_feature_file_only
BFW_D_Motor_Power,decision_variable,VHP_DESPHTR_BFW_FROM_U_O,False,True,,in_feature_file_only
BFW_D_Motor_Power_Imbalance,decision_variable,BFW_TO_LAO,False,True,,in_feature_file_only
BFW_D_Motor_Power_Imbalance,decision_variable,BFW_to_EOEG_1,False,True,,in_feature_file_only
BFW_D_Motor_Power_Imbalance,decision_variable,BFW_to_EOEG_2,False,True,,in_feature_file_only
BFW_D_Motor_Power_Imbalance,decision_variable,BFW_to_EOEG_3,False,True,,in_feature_file_only
BFW_D_Motor_Power_Imbalance,decision_variable,DSP_BFW_TO_CAUSTIC_DILUTION,False,True,,in_feature_file_only
BFW_D_Motor_Power_Imbalance,decision_variable,DSP_BFW_TO_EG1,False,True,,in_feature_file_only
BFW_D_Motor_Power_Imbalance,decision_variable,DSP_BFW_TO_EG2,False,True,,in_feature_file_only
BFW_D_Motor_Power_Imbalance,decision_variable,DSP_BFW_TO_EG3_raw,False,True,,in_feature_file_only
BFW_D_Motor_Power_Imbalance,decision_variable,DSP_BFW_TO_ETH_raw,False,True,,in_feature_file_only
BFW_D_Motor_Power_Imbalance,decision_variable,EOEG3_Plant_Status,False,True,,in_feature_file_only
BFW_D_Motor_Power_Imbalance,decision_variable,ETH_Plant_Status,False,True,,in_feature_file_only
BFW_D_Motor_Power_Imbalance,decision_variable,LHV,False,True,,in_feature_file_only
BFW_D_Motor_Power_Imbalance,decision_variable,Spec_En_Cons_BLR_1_Opt,False,True,,in_feature_file_only
BFW_D_Motor_Power_Imbalance,decision_variable,Spec_En_Cons_BLR_2_Opt,False,True,,in_feature_file_only
BFW_D_Motor_Power_Imbalance,decision_variable,Spec_En_Cons_BLR_3_Opt,False,True,,in_feature_file_only
BFW_D_Motor_Power_Imbalance,decision_variable,Spec_En_Cons_BLR_4_Opt,False,True,,in_feature_file_only
BFW_D_Motor_Power_Imbalance,decision_variable,Spec_En_Cons_BLR_5_Opt,False,True,,in_feature_file_only
BFW_D_Motor_Power_Imbalance,decision_variable,VHP_BFW_FROM_U_O,False,True,,in_feature_file_only
BFW_D_Motor_Power_Imbalance,decision_variable,VHP_DESPHTR_BFW_FROM_U_O,False,True,,in_feature_file_only
BFW_D_Motor_Status,decision_variable,,,,,no_pi_leaves
BFW_Drives_Running,decision_variable,,,,,no_pi_leaves
BFW_E_Turb_Status,decision_variable,,,,,no_pi_leaves
BFW_E_Turb_Steam,decision_variable,BFW_E_Turb_Steam_cons,False,True,,in_feature_file_only
BFW_E_Turb_Steam,decision_variable,BFW_E_Turb_Steam_raw,False,True,,in_feature_file_only
BFW_E_Turb_Steam,decision_variable,BFW_TO_LAO,False,True,,in_feature_file_only
BFW_E_Turb_Steam,decision_variable,BFW_to_EOEG_1,False,True,,in_feature_file_only
BFW_E_Turb_Steam,decision_variable,BFW_to_EOEG_2,False,True,,in_feature_file_only
BFW_E_Turb_Steam,decision_variable,BFW_to_EOEG_3,False,True,,in_feature_file_only
BFW_E_Turb_Steam,decision_variable,DSP_BFW_TO_CAUSTIC_DILUTION,False,True,,in_feature_file_only
BFW_E_Turb_Steam,decision_variable,DSP_BFW_TO_EG1,False,True,,in_feature_file_only
BFW_E_Turb_Steam,decision_variable,DSP_BFW_TO_EG2,False,True,,in_feature_file_only
BFW_E_Turb_Steam,decision_variable,DSP_BFW_TO_EG3_raw,False,True,,in_feature_file_only
BFW_E_Turb_Steam,decision_variable,DSP_BFW_TO_ETH_raw,False,True,,in_feature_file_only
BFW_E_Turb_Steam,decision_variable,EOEG3_Plant_Status,False,True,,in_feature_file_only
BFW_E_Turb_Steam,decision_variable,ETH_Plant_Status,False,True,,in_feature_file_only
BFW_E_Turb_Steam,decision_variable,LHV,False,True,,in_feature_file_only
BFW_E_Turb_Steam,decision_variable,Spec_En_Cons_BLR_1_Opt,False,True,,in_feature_file_only
BFW_E_Turb_Steam,decision_variable,Spec_En_Cons_BLR_2_Opt,False,True,,in_feature_file_only
BFW_E_Turb_Steam,decision_variable,Spec_En_Cons_BLR_3_Opt,False,True,,in_feature_file_only
BFW_E_Turb_Steam,decision_variable,Spec_En_Cons_BLR_4_Opt,False,True,,in_feature_file_only
BFW_E_Turb_Steam,decision_variable,Spec_En_Cons_BLR_5_Opt,False,True,,in_feature_file_only
BFW_E_Turb_Steam,decision_variable,VHP_BFW_FROM_U_O,False,True,,in_feature_file_only
BFW_E_Turb_Steam,decision_variable,VHP_DESPHTR_BFW_FROM_U_O,False,True,,in_feature_file_only
BFW_E_Turb_Steam_Imbalance,decision_variable,BFW_TO_LAO,False,True,,in_feature_file_only
BFW_E_Turb_Steam_Imbalance,decision_variable,BFW_to_EOEG_1,False,True,,in_feature_file_only
BFW_E_Turb_Steam_Imbalance,decision_variable,BFW_to_EOEG_2,False,True,,in_feature_file_only
BFW_E_Turb_Steam_Imbalance,decision_variable,BFW_to_EOEG_3,False,True,,in_feature_file_only
BFW_E_Turb_Steam_Imbalance,decision_variable,DSP_BFW_TO_CAUSTIC_DILUTION,False,True,,in_feature_file_only
BFW_E_Turb_Steam_Imbalance,decision_variable,DSP_BFW_TO_EG1,False,True,,in_feature_file_only
BFW_E_Turb_Steam_Imbalance,decision_variable,DSP_BFW_TO_EG2,False,True,,in_feature_file_only
BFW_E_Turb_Steam_Imbalance,decision_variable,DSP_BFW_TO_EG3_raw,False,True,,in_feature_file_only
BFW_E_Turb_Steam_Imbalance,decision_variable,DSP_BFW_TO_ETH_raw,False,True,,in_feature_file_only
BFW_E_Turb_Steam_Imbalance,decision_variable,EOEG3_Plant_Status,False,True,,in_feature_file_only
BFW_E_Turb_Steam_Imbalance,decision_variable,ETH_Plant_Status,False,True,,in_feature_file_only
BFW_E_Turb_Steam_Imbalance,decision_variable,LHV,False,True,,in_feature_file_only
BFW_E_Turb_Steam_Imbalance,decision_variable,Spec_En_Cons_BLR_1_Opt,False,True,,in_feature_file_only
BFW_E_Turb_Steam_Imbalance,decision_variable,Spec_En_Cons_BLR_2_Opt,False,True,,in_feature_file_only
BFW_E_Turb_Steam_Imbalance,decision_variable,Spec_En_Cons_BLR_3_Opt,False,True,,in_feature_file_only
BFW_E_Turb_Steam_Imbalance,decision_variable,Spec_En_Cons_BLR_4_Opt,False,True,,in_feature_file_only
BFW_E_Turb_Steam_Imbalance,decision_variable,Spec_En_Cons_BLR_5_Opt,False,True,,in_feature_file_only
BFW_E_Turb_Steam_Imbalance,decision_variable,VHP_BFW_FROM_U_O,False,True,,in_feature_file_only
BFW_E_Turb_Steam_Imbalance,decision_variable,VHP_DESPHTR_BFW_FROM_U_O,False,True,,in_feature_file_only
BFW_F_Motor_Power,decision_variable,BFW_TO_LAO,False,True,,in_feature_file_only
BFW_F_Motor_Power,decision_variable,BFW_to_EOEG_1,False,True,,in_feature_file_only
BFW_F_Motor_Power,decision_variable,BFW_to_EOEG_2,False,True,,in_feature_file_only
BFW_F_Motor_Power,decision_variable,BFW_to_EOEG_3,False,True,,in_feature_file_only
BFW_F_Motor_Power,decision_variable,DSP_BFW_TO_CAUSTIC_DILUTION,False,True,,in_feature_file_only
BFW_F_Motor_Power,decision_variable,DSP_BFW_TO_EG1,False,True,,in_feature_file_only
BFW_F_Motor_Power,decision_variable,DSP_BFW_TO_EG2,False,True,,in_feature_file_only
BFW_F_Motor_Power,decision_variable,DSP_BFW_TO_EG3_raw,False,True,,in_feature_file_only
BFW_F_Motor_Power,decision_variable,DSP_BFW_TO_ETH_raw,False,True,,in_feature_file_only
BFW_F_Motor_Power,decision_variable,EOEG3_Plant_Status,False,True,,in_feature_file_only
BFW_F_Motor_Power,decision_variable,ETH_Plant_Status,False,True,,in_feature_file_only
BFW_F_Motor_Power,decision_variable,LHV,False,True,,in_feature_file_only
BFW_F_Motor_Power,decision_variable,Spec_En_Cons_BLR_1_Opt,False,True,,in_feature_file_only
BFW_F_Motor_Power,decision_variable,Spec_En_Cons_BLR_2_Opt,False,True,,in_feature_file_only
BFW_F_Motor_Power,decision_variable,Spec_En_Cons_BLR_3_Opt,False,True,,in_feature_file_only
BFW_F_Motor_Power,decision_variable,Spec_En_Cons_BLR_4_Opt,False,True,,in_feature_file_only
BFW_F_Motor_Power,decision_variable,Spec_En_Cons_BLR_5_Opt,False,True,,in_feature_file_only
BFW_F_Motor_Power,decision_variable,VHP_BFW_FROM_U_O,False,True,,in_feature_file_only
BFW_F_Motor_Power,decision_variable,VHP_DESPHTR_BFW_FROM_U_O,False,True,,in_feature_file_only
BFW_F_Motor_Power_Imbalance,decision_variable,BFW_TO_LAO,False,True,,in_feature_file_only
BFW_F_Motor_Power_Imbalance,decision_variable,BFW_to_EOEG_1,False,True,,in_feature_file_only
BFW_F_Motor_Power_Imbalance,decision_variable,BFW_to_EOEG_2,False,True,,in_feature_file_only
BFW_F_Motor_Power_Imbalance,decision_variable,BFW_to_EOEG_3,False,True,,in_feature_file_only
BFW_F_Motor_Power_Imbalance,decision_variable,DSP_BFW_TO_CAUSTIC_DILUTION,False,True,,in_feature_file_only
BFW_F_Motor_Power_Imbalance,decision_variable,DSP_BFW_TO_EG1,False,True,,in_feature_file_only
BFW_F_Motor_Power_Imbalance,decision_variable,DSP_BFW_TO_EG2,False,True,,in_feature_file_only
BFW_F_Motor_Power_Imbalance,decision_variable,DSP_BFW_TO_EG3_raw,False,True,,in_feature_file_only
BFW_F_Motor_Power_Imbalance,decision_variable,DSP_BFW_TO_ETH_raw,False,True,,in_feature_file_only
BFW_F_Motor_Power_Imbalance,decision_variable,EOEG3_Plant_Status,False,True,,in_feature_file_only
BFW_F_Motor_Power_Imbalance,decision_variable,ETH_Plant_Status,False,True,,in_feature_file_only
BFW_F_Motor_Power_Imbalance,decision_variable,LHV,False,True,,in_feature_file_only
BFW_F_Motor_Power_Imbalance,decision_variable,Spec_En_Cons_BLR_1_Opt,False,True,,in_feature_file_only
BFW_F_Motor_Power_Imbalance,decision_variable,Spec_En_Cons_BLR_2_Opt,False,True,,in_feature_file_only
BFW_F_Motor_Power_Imbalance,decision_variable,Spec_En_Cons_BLR_3_Opt,False,True,,in_feature_file_only
BFW_F_Motor_Power_Imbalance,decision_variable,Spec_En_Cons_BLR_4_Opt,False,True,,in_feature_file_only
BFW_F_Motor_Power_Imbalance,decision_variable,Spec_En_Cons_BLR_5_Opt,False,True,,in_feature_file_only
BFW_F_Motor_Power_Imbalance,decision_variable,VHP_BFW_FROM_U_O,False,True,,in_feature_file_only
BFW_F_Motor_Power_Imbalance,decision_variable,VHP_DESPHTR_BFW_FROM_U_O,False,True,,in_feature_file_only
BFW_F_Motor_Status,decision_variable,,,,,no_pi_leaves
BFW_Flow_Consumption,decision_variable,BFW_TO_LAO,False,True,,in_feature_file_only
BFW_Flow_Consumption,decision_variable,BFW_to_EOEG_1,False,True,,in_feature_file_only
BFW_Flow_Consumption,decision_variable,BFW_to_EOEG_2,False,True,,in_feature_file_only
BFW_Flow_Consumption,decision_variable,BFW_to_EOEG_3,False,True,,in_feature_file_only
BFW_Flow_Consumption,decision_variable,DSP_BFW_TO_CAUSTIC_DILUTION,False,True,,in_feature_file_only
BFW_Flow_Consumption,decision_variable,DSP_BFW_TO_EG1,False,True,,in_feature_file_only
BFW_Flow_Consumption,decision_variable,DSP_BFW_TO_EG2,False,True,,in_feature_file_only
BFW_Flow_Consumption,decision_variable,DSP_BFW_TO_EG3_raw,False,True,,in_feature_file_only
BFW_Flow_Consumption,decision_variable,DSP_BFW_TO_ETH_raw,False,True,,in_feature_file_only
BFW_Flow_Consumption,decision_variable,EOEG3_Plant_Status,False,True,,in_feature_file_only
BFW_Flow_Consumption,decision_variable,ETH_Plant_Status,False,True,,in_feature_file_only
BFW_Flow_Consumption,decision_variable,LHV,False,True,,in_feature_file_only
BFW_Flow_Consumption,decision_variable,Spec_En_Cons_BLR_1_Opt,False,True,,in_feature_file_only
BFW_Flow_Consumption,decision_variable,Spec_En_Cons_BLR_2_Opt,False,True,,in_feature_file_only
BFW_Flow_Consumption,decision_variable,Spec_En_Cons_BLR_3_Opt,False,True,,in_feature_file_only
BFW_Flow_Consumption,decision_variable,Spec_En_Cons_BLR_4_Opt,False,True,,in_feature_file_only
BFW_Flow_Consumption,decision_variable,Spec_En_Cons_BLR_5_Opt,False,True,,in_feature_file_only
BFW_Flow_Consumption,decision_variable,VHP_BFW_FROM_U_O,False,True,,in_feature_file_only
BFW_Flow_Consumption,decision_variable,VHP_DESPHTR_BFW_FROM_U_O,False,True,,in_feature_file_only
BFW_Imbalance,decision_variable,BFW_TO_LAO,False,True,,in_feature_file_only
BFW_Imbalance,decision_variable,BFW_to_EOEG_1,False,True,,in_feature_file_only
BFW_Imbalance,decision_variable,BFW_to_EOEG_2,False,True,,in_feature_file_only
BFW_Imbalance,decision_variable,BFW_to_EOEG_3,False,True,,in_feature_file_only
BFW_Imbalance,decision_variable,DSP_BFW_TO_CAUSTIC_DILUTION,False,True,,in_feature_file_only
BFW_Imbalance,decision_variable,DSP_BFW_TO_EG1,False,True,,in_feature_file_only
BFW_Imbalance,decision_variable,DSP_BFW_TO_EG2,False,True,,in_feature_file_only
BFW_Imbalance,decision_variable,DSP_BFW_TO_EG3_raw,False,True,,in_feature_file_only
BFW_Imbalance,decision_variable,DSP_BFW_TO_ETH_raw,False,True,,in_feature_file_only
